dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,no_transform,"Logistic Regression, C=1.0",7,0.8943518203470568,0.9241238516502212,0.059544062606328725,0.9355670103092784,0.8645797890438924,0.7466005608744124,0.9193603266417149,0.5443873807776963,1.0,0.9378119001919386,0.9773512476007676,0.07907869481765839,0.9190887666928514,0.8982725527831094,0.5553892215568862,0.5089820359281437,0.09281437125748504,0.8457711442786071,0.6017964071856288,0.3501769128704113,0.11823749574685267,0.0779176590677101,0.08063967335828512,0.4914163090128755,0.15855733242599526,16870.0
Adult Sex,no_transform,SVM,7,0.9125552909152772,0.9343314052398776,0.043552228649200386,0.9533867443554258,0.8907791765906771,0.7496914041398968,0.9373936713167744,0.5834683954619124,1.0,0.9604606525911707,0.9904030710172744,0.05988483685220725,0.9395348837209304,0.9305182341650672,0.5389221556886228,0.4970059880239521,0.08383233532934138,0.8556701030927835,0.5808383233532934,0.3501769128704113,0.09629125552909153,0.06498809118747874,0.06260632868322559,0.5093333333333333,0.12759441987070433,16870.0
Adult Sex,no_transform,Majority,7,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,16870.0
Adult Sex,no_transform,Kamiran & Calders LR,7,0.8982647158897584,0.9173188159237836,0.03810820006805038,0.9584569732937686,0.8792106158557332,0.7696889330743504,0.9911534535556312,0.5740740740740741,1.0,0.9360844529750479,0.9493282149712092,0.02648752399232246,0.9720986655883542,0.9228406909788868,0.6032934131736527,0.6676646706586826,0.12874251497005984,0.8071748878923768,0.5389221556886228,0.3501769128704113,0.12521265736645118,0.12078938414426675,0.008846546444368844,0.9317585301837268,0.1296359305886356,16870.0
Adult Sex,no_transform,Kamiran & Calders SVM,7,0.9164681864579788,0.9295678802313712,0.02619938754678464,0.9718155197657392,0.9033684926845866,0.7695171078189111,0.9819666553249404,0.6118577075098814,1.0,0.9596928982725528,0.9619961612284068,0.004606525911708292,0.9952114924181964,0.9573896353166986,0.5793413173652695,0.6766467065868264,0.19461077844311367,0.7123893805309734,0.4820359281437126,0.3501769128704113,0.10156515821708063,0.1105818305546104,0.018033344675059543,0.8369230769230769,0.09254848587955086,16870.0
Adult Sex,no_transform,"Logistic Regression, C=1.0",8,0.8994555971418849,0.9251446070091868,0.051378019734603535,0.9444648767929388,0.8737665872745832,0.7442593699357523,0.9302483838040151,0.55125284738041,1.0,0.94510556621881,0.9792706333973128,0.06833013435700586,0.9302234417875342,0.9109404990403069,0.5434131736526946,0.5029940119760479,0.08083832335329344,0.8615384615384615,0.5838323353293413,0.3501769128704113,0.11041170466144948,0.07553589656345695,0.06975161619598504,0.5199063231850116,0.145287512759442,19280.0
Adult Sex,no_transform,SVM,8,0.9123851650221164,0.9292276284450494,0.033684926845865985,0.9637495422922006,0.8955427015991834,0.7495954348500695,0.9363729159578088,0.582995951417004,1.0,0.9602687140115164,0.9877159309021112,0.054894433781189966,0.9444228527011272,0.9328214971209212,0.5389221556886228,0.4730538922155689,0.13173652694610774,0.7821782178217822,0.6047904191616766,0.3501769128704113,0.09646138142225248,0.06464783940115686,0.06362708404219121,0.5039787798408488,0.12827492344334807,19280.0
Adult Sex,no_transform,Majority,8,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,19280.0
Adult Sex,no_transform,Kamiran & Calders LR,8,0.9026879891119428,0.9207213337870024,0.036066689350119134,0.9608277900960828,0.8846546444368832,0.7650062638638271,0.9952364749914936,0.5781710914454277,1.0,0.9431861804222648,0.9547024952015356,0.02303262955854124,0.9758745476477684,0.9316698656429944,0.5868263473053892,0.655688622754491,0.13772455089820354,0.7899543378995434,0.5179640718562875,0.3501769128704113,0.1170466144947261,0.11466485199047295,0.0047635250085062975,0.96011396011396,0.11942837699897925,19280.0
Adult Sex,no_transform,Kamiran & Calders SVM,8,0.9157876828853352,0.9258251105818306,0.02007485539299081,0.9783167952958473,0.9057502551888398,0.7658705621386785,0.9724396053079278,0.6068308181096109,1.0,0.9598848368522072,0.9577735124760076,0.004222648752399194,0.99561053471668,0.9619961612284068,0.5718562874251497,0.6766467065868264,0.20958083832335328,0.6902654867256638,0.467065868263473,0.3501769128704113,0.100544402858115,0.11432460020415107,0.027560394692072138,0.7589285714285714,0.08676420551207893,19280.0
Adult Sex,no_transform,"Logistic Regression, C=1.0",9,0.8935011908812521,0.9227628445049336,0.05852330724736299,0.9365781710914455,0.8642395372575706,0.7337225740457665,0.9251446070091868,0.5293233082706766,1.0,0.9404990403071017,0.9781190019193858,0.07523992322456818,0.923076923076923,0.9028790786948176,0.5269461077844312,0.49101796407185627,0.07185628742514971,0.8723404255319148,0.562874251497006,0.3501769128704113,0.11262334127254169,0.07519564477713508,0.0748553929908132,0.5011337868480725,0.1500510377679483,21690.0
Adult Sex,no_transform,SVM,9,0.9064307587614835,0.9278666212997618,0.04287172507655668,0.9537953795379538,0.8849948962232052,0.7351434367349754,0.9333106498809118,0.5550161812297734,1.0,0.9568138195777351,0.9877159309021113,0.061804222648752405,0.9374271278663039,0.9259117082533589,0.5134730538922155,0.46107784431137727,0.10479041916167658,0.8148148148148149,0.5658682634730539,0.3501769128704113,0.09663150731541341,0.06328683225586934,0.06668935011908814,0.48691099476439786,0.12997618237495748,21690.0
Adult Sex,no_transform,Majority,9,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,21690.0
Adult Sex,no_transform,Kamiran & Calders LR,9,0.8984348417829193,0.916298060564818,0.03572643756379723,0.961010025993316,0.8805716230010208,0.7652171664348846,0.9935352160598844,0.570194384449244,1.0,0.9376199616122841,0.945873320537428,0.0165067178502879,0.9825487012987013,0.9293666026871401,0.592814371257485,0.6856287425149701,0.18562874251497008,0.7292576419213973,0.5,0.3501769128704113,0.12266076896903709,0.12589316093909492,0.006464783940115668,0.9486486486486488,0.11942837699897925,21690.0
Adult Sex,no_transform,Kamiran & Calders SVM,9,0.9111942837699898,0.9193603266417149,0.01633208574345013,0.9822353811991118,0.9030282408982647,0.7606692564966038,0.9727798570942497,0.5915492957746478,1.0,0.9554702495201536,0.9523992322456813,0.006142034548944353,0.9935923107729275,0.9585412667946257,0.5658682634730539,0.6616766467065869,0.19161676646706594,0.7104072398190044,0.47005988023952094,0.3501769128704113,0.10377679482817284,0.11738686628104797,0.027220142905750255,0.7681159420289855,0.09016672337529771,21690.0
